id,aqi,lan,lng,time,tz
447,102,39.886,116.407,1493395200,+08:00
448,105,39.929,116.339,1493395200,+08:00
449,99,39.878,116.352,1493395200,+08:00
450,154,39.982,116.397,1493395200,+08:00
451,65,39.937,116.461,1493391600,+08:00
452,82,39.987,116.287,1493395200,+08:00
453,61,40.09,116.174,1493395200,+08:00
454,57,40.002,116.207,1493395200,+08:00
455,102,39.863,116.279,1493395200,+08:00
456,87,39.824,116.146,1493395200,+08:00
457,72,39.914,116.184,1493395200,+08:00
458,95,39.742,116.136,1493395200,+08:00
459,76,39.718,116.404,1493395200,+08:00
460,102,39.795,116.506,1493395200,+08:00
461,119,39.886,116.663,1493395200,+08:00
462,68,40.127,116.655,1493395200,+08:00
463,63,40.217,116.23,1493395200,+08:00
464,82,39.937,116.106,1493395200,+08:00
465,67,40.143,117.1,1493395200,+08:00
466,119,40.328,116.628,1493395200,+08:00
467,82,40.37,116.832,1493395200,+08:00
468,63,40.453,115.972,1493395200,+08:00
469,63,40.292,116.22,1493395200,+08:00
470,53,40.365,115.988,1493395200,+08:00
471,78,40.499,116.911,1493395200,+08:00
472,78,40.1,117.12,1493395200,+08:00
473,70,39.712,116.783,1493395200,+08:00
474,93,39.52,116.3,1493395200,+08:00
475,119,39.58,116.0,1493395200,+08:00
476,102,39.899,116.395,1493395200,+08:00
477,74,39.876,116.394,1493395200,+08:00
478,78,39.954,116.349,1493395200,+08:00
479,134,39.856,116.368,1493395200,+08:00
480,95,39.939,116.483,1493395200,+08:00
481,134,31.234814,121.410728,1493391600,+08:00
482,129,31.2659,121.536,1493391600,+08:00
483,124,31.201014,121.483231,1493391600,+08:00
484,89,31.0935,120.978,1493391600,+08:00
485,107,31.3008,121.467,1493391600,+08:00
486,119,31.2261,121.425,1493391600,+08:00
487,112,31.1654,121.412,1493391600,+08:00
488,117,31.1907,121.703,1493391600,+08:00
489,109,31.2071,121.577,1493391600,+08:00
490,112,31.2284,121.533,1493391600,+08:00
491,116,31.230393,121.473704,1493388000,+08:00
496,57,41.7832349,123.4267266,1493391600,+08:00
497,153,36.66222222,117.0486111,1493391600,+08:00
498,107,36.63777778,117.0688889,1493294400,+08:00
499,112,36.66138889,117.0211111,1493395200,+08:00
500,127,36.61138889,116.9880556,1493395200,+08:00
501,93,36.59277778,117.0241667,1493395200,+08:00
502,155,36.663,116.945,1493395200,+08:00
504,134,36.70027778,116.9477778,1493395200,+08:00
505,68,36.68722222,116.9886111,1493395200,+08:00
506,156,36.68527778,117.0602778,1493395200,+08:00
507,114,36.68138889,117.1858333,1493395200,+08:00
508,142,36.72256667,117.1247222,1493391600,+08:00
509,70,36.4785,117.2130556,1493395200,+08:00
510,139,36.54861111,116.7651667,1493395200,+08:00
511,235,36.68538889,117.1247222,1491656400,+08:00
517,97,35.970289,120.155109,1493395200,+08:00
519,74,36.240156,120.660697,1493395200,+08:00
520,117,36.090925,120.48547,1493395200,+08:00
522,87,36.154078,120.427178,1493395200,+08:00
524,70,36.308156,120.460772,1493395200,+08:00
526,76,36.66555556,117.9233333,1493395200,+08:00
527,61,36.80833333,118.0422222,1493395200,+08:00
528,74,36.83805556,118.0447222,1493395200,+08:00
529,85,36.84333333,118.0175,1493395200,+08:00
530,97,36.80305556,118.0244444,1493395200,+08:00
531,95,36.49722222,117.8477778,1493391600,+08:00
532,70,36.45972222,117.8702778,1493395200,+08:00
533,139,36.81972222,118.3091667,1493395200,+08:00
534,85,36.76555556,118.2491667,1493395200,+08:00
535,139,36.80416667,117.8511111,1493395200,+08:00
536,78,36.825,117.9205556,1493391600,+08:00
537,107,36.90472222,118.0158333,1493395200,+08:00
538,139,34.85138889,117.5638889,1493395200,+08:00
539,137,34.82,117.5897222,1493395200,+08:00
540,124,34.79111111,117.2666667,1493395200,+08:00
541,134,34.77388889,117.5708333,1493395200,+08:00
542,156,34.58055556,117.7352778,1493395200,+08:00
543,129,35.07083333,117.4516667,1493395200,+08:00
544,160,34.81027778,117.3147222,1493395200,+08:00
545,127,34.8225,117.3575,1493395200,+08:00
546,72,37.43138889,118.6672222,1493395200,+08:00
548,89,37.43805556,118.625,1493395200,+08:00
549,107,37.44166667,118.5044444,1493395200,+08:00
550,129,37.44444444,118.5527778,1493395200,+08:00
551,99,37.46583333,118.5022222,1493395200,+08:00
552,85,37.47222222,118.6408333,1493395200,+08:00
553,161,37.88305556,118.5163889,1493395200,+08:00
554,89,37.43444444,118.6961111,1493395200,+08:00
555,80,37.54311096,121.371706,1493395200,+08:00
557,72,37.52368316,121.3553673,1493395200,+08:00
558,97,37.47141415,121.2550926,1493395200,+08:00
559,65,37.37605485,121.5817255,1493395200,+08:00
560,65,37.47743887,121.4430704,1493290800,+08:00
561,60,37.42609554,121.4031242,1493395200,+08:00
562,85,37.42276743,121.5068398,1493395200,+08:00
563,76,37.5599778,121.2529217,1493391600,+08:00
564,86,37.60240665,121.1421659,1493395200,+08:00
565,72,37.67283315,121.0662505,1493395200,+08:00
566,107,36.73055556,119.0919444,1493395200,+08:00
567,107,36.71955556,119.0481667,1493395200,+08:00
568,82,36.68194444,119.0999444,1493395200,+08:00
569,109,36.77305556,119.1938889,1493395200,+08:00
570,95,36.65722222,119.1613889,1493391600,+08:00
571,93,36.70083333,119.1625,1493395200,+08:00
572,109,36.70194444,119.14,1493395200,+08:00
573,134,36.64111111,119.1108333,1493395200,+08:00
574,107,36.77305556,119.1095667,1493395200,+08:00
575,99,35.40888889,116.6186111,1493395200,+08:00
576,162,35.42505556,116.6936111,1493395200,+08:00
577,102,35.36477778,116.6038889,1490698800,+08:00
578,102,35.39088889,116.5476111,1493395200,+08:00
579,95,35.39088889,116.6576111,1493395200,+08:00
580,151,35.44277778,116.5963889,1493391600,+08:00
581,109,35.43677778,116.6376111,1493395200,+08:00
582,72,36.19416667,117.1536111,1493395200,+08:00
583,70,36.17583333,117.1180556,1493395200,+08:00
584,66,36.19416667,117.0980556,1493395200,+08:00
585,89,36.20472222,117.1841667,1493395200,+08:00
586,81,36.17,117.1591667,1493395200,+08:00
587,68,36.20194444,117.0411111,1493395200,+08:00
588,91,36.11638889,117.1013889,1493391600,+08:00
589,104,37.51292649,122.0620045,1493395200,+08:00
590,68,37.32453537,122.1558142,1493395200,+08:00
591,63,37.51363425,122.1412574,1493395200,+08:00
592,99,37.48458826,122.0444208,1493395200,+08:00
593,104,37.53392123,122.0512579,1493395200,+08:00
594,72,37.42694682,122.1257714,1493395200,+08:00
595,90,35.40777778,119.5205556,1493395200,+08:00
597,93,35.38888889,119.4908333,1493395200,+08:00
598,77,35.4625,119.5688889,1493395200,+08:00
599,97,35.44222222,119.5327778,1493395200,+08:00
600,93,35.29361111,119.34,1493395200,+08:00
601,90,35.37361111,119.5086111,1493395200,+08:00
602,85,36.205,117.695,1493395200,+08:00
604,137,36.26611111,117.6469444,1493395200,+08:00
605,104,36.245,117.7330556,1493395200,+08:00
606,102,36.20805556,117.725,1493391600,+08:00
607,70,36.06694444,117.8661111,1493395200,+08:00
608,87,35.06222222,118.2938889,1493395200,+08:00
609,73,35.05722222,118.3416667,1493395200,+08:00
610,74,35.11527778,118.2877778,1493391600,+08:00
611,68,35.10527778,118.3477778,1493395200,+08:00
612,114,34.98166667,118.2763889,1493395200,+08:00
613,107,34.99944444,118.2516667,1493395200,+08:00
614,114,35.08972222,118.4023333,1493395200,+08:00
615,152,35.01055556,118.43,1493391600,+08:00
616,109,37.46527778,116.3083333,1493395200,+08:00
618,48,37.43222222,116.3713889,1493395200,+08:00
619,63,37.44888889,116.3188889,1493395200,+08:00
620,80,37.46194444,116.3516667,1493395200,+08:00
621,88,37.47805556,116.3105556,1493395200,+08:00
622,97,36.44444444,115.9661111,1493395200,+08:00
623,104,36.45666667,115.9966667,1493395200,+08:00
624,156,36.47944444,115.9836111,1493391600,+08:00
625,63,36.43194444,115.9513889,1493395200,+08:00
626,57,36.47111111,115.9547222,1493395200,+08:00
627,50,36.45916667,116.0377778,1493395200,+08:00
628,122,37.37944444,118.0208333,1493395200,+08:00
629,127,37.38305556,117.9830556,1493395200,+08:00
630,137,37.36083333,117.9966667,1493391600,+08:00
631,76,37.39555556,117.9377778,1493395200,+08:00
632,102,37.35555556,117.9375,1493395200,+08:00
633,129,37.3675,117.9730556,1493391600,+08:00
634,112,35.24888889,115.4227778,1493395200,+08:00
635,117,35.22305556,115.5258333,1493395200,+08:00
636,112,35.2375,115.4747222,1493395200,+08:00
637,127,35.24361111,115.4086111,1493395200,+08:00
638,144,35.26194444,115.5191667,1493395200,+08:00
639,129,35.27,115.455,1493395200,+08:00
640,129,36.22888889,117.6888889,1493395200,+08:00
641,46,38.031,114.542,1493391600,+08:00
642,59,38.012,114.467,1493391600,+08:00
644,61,38.051,114.455,1493391600,+08:00
645,93,38.052,114.521,1493391600,+08:00
646,78,38.14,114.502,1493391600,+08:00
647,52,38.04,114.605,1493391600,+08:00
648,42,37.91,114.354,1493391600,+08:00
650,65,39.668,118.219,1493391600,+08:00
652,60,39.641,118.185,1493391600,+08:00
653,76,39.643,118.144,1493391600,+08:00
654,62,39.631,118.166,1493391600,+08:00
655,48,39.957,119.602,1493391600,+08:00
656,65,39.828,119.526,1493391600,+08:00
657,53,40.018,119.762,1493391600,+08:00
658,61,39.942,119.537,1493391600,+08:00
659,63,39.936,119.607,1493391600,+08:00
660,64,36.62,114.496,1493391600,+08:00
661,66,36.618,114.513,1493391600,+08:00
662,65,36.616,114.543,1493391600,+08:00
663,64,36.578,114.504,1493391600,+08:00
664,70,37.096,114.533,1493391600,+08:00
665,66,37.097,114.482,1493391600,+08:00
666,59,37.053,114.526,1493391600,+08:00
667,21,37.062,114.485,1493391600,+08:00
668,55,38.871,115.521,1493391600,+08:00
669,59,38.842,115.461,1493391600,+08:00
670,53,38.896,115.522,1493391600,+08:00
671,50,38.911,115.471,1493391600,+08:00
672,76,38.876,115.442,1493391600,+08:00
673,104,38.863,115.493,1493391600,+08:00
674,61,40.769,114.903,1493391600,+08:00
675,92,40.873,114.904,1493391600,+08:00
676,63,40.837,114.898,1493391600,+08:00
677,86,40.811,114.881,1493391600,+08:00
678,87,40.795,114.892,1493391600,+08:00
679,50,40.916,117.966,1493391600,+08:00
680,53,40.973,117.818,1493391600,+08:00
681,48,40.984,117.952,1493391600,+08:00
682,70,40.936,117.963,1493391600,+08:00
683,60,41.011,117.938,1493391600,+08:00
684,59,38.323,116.871,1493391600,+08:00
685,58,38.299,116.885,1493391600,+08:00
686,53,38.325,116.858,1493391600,+08:00
687,161,39.557,116.715,1482782400,+08:00
688,61,39.518,116.684,1493391600,+08:00
689,63,39.575,116.773,1493391600,+08:00
690,64,39.534,116.737,1493391600,+08:00
691,62,37.739,115.69,1493391600,+08:00
692,64,37.738,115.643,1493391600,+08:00
693,68,37.758,115.695,1493391600,+08:00
695,225,39.17295,117.1933667,1480078800,+08:00
696,82,39.16543333,117.1446333,1493395200,+08:00
698,93,39.11083,117.2452,1493395200,+08:00
699,104,39.0927,117.2016833,1493395200,+08:00
700,104,39.22605,117.18495,1493395200,+08:00
702,58,39.08714,117.3145,1493395200,+08:00
704,117,39.03431667,117.70715,1493395200,+08:00
705,82,38.83945,117.45735,1493395200,+08:00
707,72,38.98458333,117.3747333,1493395200,+08:00
708,134,39.02096667,117.6503,1493395200,+08:00
709,95,39.24735,117.7917667,1493395200,+08:00
711,235,39.37261667,117.0439833,1478797200,+08:00
712,165,40.04175,117.4444167,1493395200,+08:00
713,129,38.91943333,117.1566333,1493395200,+08:00
714,78,39.32815,117.8165667,1493395200,+08:00
716,80,39.07846667,117.0901667,1493395200,+08:00
717,64,39.15106667,117.3747667,1493395200,+08:00
718,95,39.15875,117.7641667,1493395200,+08:00
719,63,38.84516667,116.7794167,1493395200,+08:00
720,109,39.51626667,117.3431167,1493395200,+08:00
721,102,30.246,120.128,1493391600,+08:00
722,102,30.288,120.171,1493391600,+08:00
723,102,30.21,120.210833,1493391600,+08:00
724,13,30.31194444,120.1197222,1493395200,+08:00
725,137,30.268,120.193,1493391600,+08:00
726,109,30.30583333,120.3480556,1493391600,+08:00
727,91,30.18083333,120.0883333,1493388000,+08:00
728,90,30.27472222,120.0633333,1493388000,+08:00
729,102,30.18194444,120.2697222,1493391600,+08:00
730,80,29.640581,119.025965,1493391600,+08:00
731,99,30.418333,120.300556,1493388000,+08:00
732,80,30.051,119.9589,1493388000,+08:00
736,106,28.013044,120.675116,1493388000,+08:00
737,96,28.005239,120.638037,1493388000,+08:00
738,107,27.971359,120.764294,1493391600,+08:00
739,111,27.985079,120.679665,1493388000,+08:00
740,96,30.75666667,120.7630556,1493388000,+08:00
741,117,30.747405,120.730691,1493388000,+08:00
742,107,30.777969,120.743647,1493391600,+08:00
745,75,30.864437,120.079708,1493388000,+08:00
746,117,29.993049,120.643444,1493388000,+08:00
748,114,29.989283,120.609511,1493388000,+08:00
749,116,30.078374,120.617462,1493388000,+08:00
750,109,29.933613,120.573047,1493388000,+08:00
753,102,29.728868,120.217123,1493388000,+08:00
754,112,29.102917,119.685611,1493391600,+08:00
755,107,29.077,119.6474167,1493391600,+08:00
756,177,29.11305556,119.6489444,1482562800,+08:00
759,93,28.94041667,118.8713056,1493388000,+08:00
760,89,28.964613,118.876145,1493391600,+08:00
761,78,28.97452778,118.85525,1493388000,+08:00
762,86,29.99444444,122.1897222,1493388000,+08:00
763,90,29.95378,122.3135,1493388000,+08:00
764,107,30.02027778,122.1222222,1493391600,+08:00
765,62,28.654166,121.41888,1493388000,+08:00
766,76,28.57736111,121.3767778,1493388000,+08:00
767,76,28.659261,121.280823,1493388000,+08:00
768,68,28.42305556,119.8794444,1493391600,+08:00
769,88,28.447794,119.9187,1493388000,+08:00
771,82,23.1422,113.235,1493391600,+08:00
772,46,23.1331,113.26,1493391600,+08:00
773,65,23.105,113.261,1493391600,+08:00
775,78,23.0916,113.348,1493391600,+08:00
776,61,23.105,113.433,1493391600,+08:00
777,80,22.9477,113.352,1493391600,+08:00
778,87,23.3917,113.215,1484557200,+08:00
779,70,23.2783,113.568,1493391600,+08:00
780,65,23.1569,113.281,1493391600,+08:00
781,46,23.6502,113.6246,1493391600,+08:00
782,72,23.4208,113.073,1493391600,+08:00
783,82,23.1064,113.3328,1493380800,+08:00
784,102,22.2281,113.299,1493391600,+08:00
785,137,22.2611,113.574,1493391600,+08:00
786,114,22.2294,113.495,1493391600,+08:00
787,82,22.4251,113.628,1493391600,+08:00
789,85,23.0048,113.134,1493391600,+08:00
790,76,23.0395,113.105,1493391600,+08:00
791,97,23.1886,112.863,1493391600,+08:00
792,89,23.0467,113.144,1493391600,+08:00
793,59,22.8693,112.844,1493391600,+08:00
794,87,23.1572,112.885,1493391600,+08:00
795,117,22.809444,113.287778,1483804800,+08:00
796,112,22.765556,113.253056,1483804800,+08:00
798,112,22.5931,113.0819,1493391600,+08:00
799,97,22.7279,112.929,1484528400,+08:00
800,99,22.0608,112.7607,1493384400,+08:00
801,112,22.5862,112.5814,1493380800,+08:00
802,97,22.5811,113.074,1493391600,+08:00
803,109,22.6069,113.104,1493391600,+08:00
804,89,22.5328,113.024,1493391600,+08:00
805,152,23.1617,112.565,1493391600,+08:00
806,102,23.0706,112.427,1493391600,+08:00
808,68,23.0528,112.471,1493391600,+08:00
809,85,22.9398,114.3806,1493384400,+08:00
810,74,23.08,114.4053,1493391600,+08:00
812,65,23.0528,114.4183,1493391600,+08:00
813,55,23.1142,114.4103,1493391600,+08:00
814,72,22.8172,114.3244,1493384400,+08:00
815,78,22.7422,114.5317,1493391600,+08:00
816,65,23.06,113.748056,1484557200,+08:00
817,80,23.0536,113.7819,1484557200,+08:00
818,119,23.01277778,113.7944444,1493391600,+08:00
819,97,22.96583333,113.7383333,1493391600,+08:00
820,89,23.02777778,113.7461111,1493391600,+08:00
821,117,22.5078,113.402,1493391600,+08:00
822,102,22.4886,113.434,1493391600,+08:00
823,112,22.5211,113.369,1493391600,+08:00
824,117,22.5481,113.365,1493391600,+08:00
825,97,32.108333,118.803056,1493391600,+08:00
826,109,32.057222,118.748611,1493391600,+08:00
827,112,32.07,118.773611,1493391600,+08:00
828,92,32.014444,118.776944,1493391600,+08:00
829,97,32.031389,118.803056,1493391600,+08:00
830,74,32.0775,118.794722,1493391600,+08:00
831,77,32.087778,118.625556,1493391600,+08:00
832,74,32.009167,118.736667,1493391600,+08:00
833,96,32.105,118.906944,1493391600,+08:00
834,95,31.247222,120.561389,1493391600,+08:00
835,103,31.302778,120.617778,1493391600,+08:00
836,112,31.301944,120.590833,1493391600,+08:00
837,99,31.301389,120.596667,1493391600,+08:00
838,113,31.270556,120.613056,1493391600,+08:00
839,110,31.299444,120.550278,1493391600,+08:00
840,102,31.312111,120.66525,1493391600,+08:00
841,108,31.370833,120.640556,1493391600,+08:00
842,109,31.968056,120.905,1493391600,+08:00
843,104,32.006667,120.8425,1493391600,+08:00
844,109,32.023611,120.863333,1493391600,+08:00
845,109,31.928333,120.935833,1493391600,+08:00
846,117,32.0425,120.810833,1493391600,+08:00
848,117,34.589556,119.141414,1477684800,+08:00
850,85,34.698428,119.348028,1477684800,+08:00
851,159,34.276111,117.166944,1493391600,+08:00
852,117,34.241667,117.192222,1493391600,+08:00
853,85,34.308333,117.191667,1477677600,+08:00
854,159,34.222222,117.256389,1493391600,+08:00
855,127,34.291111,117.244444,1493391600,+08:00
856,134,34.277778,117.293333,1493391600,+08:00
857,72,34.180556,117.166111,1477684800,+08:00
858,102,32.387778,119.46,1493391600,+08:00
860,103,32.376111,119.388611,1493391600,+08:00
861,162,32.403333,119.439167,1478520000,+08:00
865,97,31.503056,120.241667,1493391600,+08:00
866,110,31.584778,120.353889,1493391600,+08:00
867,84,31.547389,120.353889,1493391600,+08:00
869,80,31.684167,120.288056,1493391600,+08:00
871,109,31.786389,119.8925,1477684800,+08:00
872,93,31.808889,119.961944,1477684800,+08:00
873,102,31.763889,120.039444,1477684800,+08:00
874,93,31.703889,119.935,1493391600,+08:00
875,124,31.910833,119.904722,1493391600,+08:00
877,109,32.188333,119.680556,1493391600,+08:00
878,107,32.215,119.491389,1493391600,+08:00
879,109,32.131944,119.430278,1493391600,+08:00
880,99,32.486667,119.9,1493391600,+08:00
881,122,32.476111,119.944444,1493391600,+08:00
882,93,32.303056,119.881667,1477684800,+08:00
883,103,32.463889,119.888333,1493391600,+08:00
884,98,33.599194,119.056789,1493391600,+08:00
885,117,33.578039,119.007906,1493391600,+08:00
887,116,33.503056,119.141111,1493391600,+08:00
888,97,33.626944,119.012222,1493391600,+08:00
889,98,33.402778,120.117778,1493391600,+08:00
891,102,33.371944,120.128889,1477684800,+08:00
894,119,33.933096,118.292648,1493391600,+08:00
895,109,33.957273,118.232104,1493391600,+08:00
898,86,33.393889,120.155,1493391600,+08:00
899,89,33.607222,118.999444,1493391600,+08:00
901,99,32.41,119.404444,1493391600,+08:00
902,129,34.588556,119.175956,1493391600,+08:00
903,109,31.758333,119.995278,1493391600,+08:00
904,90,30.5746245688383,114.372305072107,1493395200,+08:00
905,89,30.5571378257044,114.251523174281,1493395200,+08:00
906,93,30.6196730729398,114.282229640575,1493395200,+08:00
907,78,30.5332340005751,114.304000350723,1493395200,+08:00
908,107,30.624719,114.370058,1493395200,+08:00
909,90,30.482469,114.156561,1493395200,+08:00
910,85,30.594389,114.301447,1493395200,+08:00
911,102,30.4832623885865,114.401701915129,1493395200,+08:00
912,70,30.633424,114.130212,1493395200,+08:00
913,97,30.29982222,113.8530639,1493395200,+08:00
914,63,22.590807,114.262078,1493391600,+08:00
916,106,22.575856,113.862238,1493391600,+08:00
920,104,22.516847,113.923192,1493391600,+08:00
