id,aqi,lan,lng,time,tz
446,104,39.929,116.417,1492185600,+08:00
447,89,39.886,116.407,1492185600,+08:00
448,87,39.929,116.339,1492185600,+08:00
449,163,39.878,116.352,1492182000,+08:00
450,93,39.982,116.397,1492185600,+08:00
451,127,39.937,116.461,1492182000,+08:00
452,142,39.987,116.287,1492185600,+08:00
453,155,40.09,116.174,1492182000,+08:00
454,68,40.002,116.207,1492185600,+08:00
455,97,39.863,116.279,1492185600,+08:00
456,157,39.824,116.146,1492182000,+08:00
457,44,39.914,116.184,1492182000,+08:00
458,119,39.742,116.136,1492185600,+08:00
459,91,39.718,116.404,1492185600,+08:00
460,158,39.795,116.506,1492174800,+08:00
461,206,39.886,116.663,1492164000,+08:00
462,79,40.127,116.655,1492182000,+08:00
463,97,40.217,116.23,1492185600,+08:00
464,185,39.937,116.106,1492185600,+08:00
465,95,40.143,117.1,1492171200,+08:00
466,158,40.328,116.628,1492164000,+08:00
467,95,40.37,116.832,1492174800,+08:00
468,63,40.453,115.972,1492182000,+08:00
469,76,40.292,116.22,1492185600,+08:00
470,61,40.365,115.988,1492182000,+08:00
471,56,40.499,116.911,1492185600,+08:00
472,124,40.1,117.12,1492185600,+08:00
473,76,39.712,116.783,1492185600,+08:00
474,139,39.52,116.3,1492185600,+08:00
475,104,39.58,116.0,1492185600,+08:00
476,99,39.899,116.395,1492182000,+08:00
477,68,39.876,116.394,1492185600,+08:00
478,95,39.954,116.349,1492185600,+08:00
480,78,39.939,116.483,1492185600,+08:00
481,109,31.234814,121.410728,1492182000,+08:00
482,112,31.2659,121.536,1492182000,+08:00
483,127,31.201014,121.483231,1492182000,+08:00
484,124,31.0935,120.978,1492182000,+08:00
485,129,31.3008,121.467,1492182000,+08:00
486,117,31.2261,121.425,1492182000,+08:00
487,89,31.1654,121.412,1492182000,+08:00
488,104,31.1907,121.703,1492182000,+08:00
489,127,31.2071,121.577,1492182000,+08:00
490,109,31.2284,121.533,1492182000,+08:00
491,113,31.230393,121.473704,1492182000,+08:00
496,147,41.7832349,123.4267266,1492182000,+08:00
497,132,36.66222222,117.0486111,1492182000,+08:00
498,109,36.63777778,117.0688889,1492185600,+08:00
499,119,36.66138889,117.0211111,1492185600,+08:00
500,134,36.61138889,116.9880556,1492185600,+08:00
501,127,36.59277778,117.0241667,1492182000,+08:00
502,129,36.663,116.945,1492185600,+08:00
504,152,36.70027778,116.9477778,1492185600,+08:00
505,157,36.68722222,116.9886111,1492185600,+08:00
506,134,36.68527778,117.0602778,1492185600,+08:00
507,134,36.68138889,117.1858333,1492185600,+08:00
508,129,36.72256667,117.1247222,1492185600,+08:00
509,91,36.4785,117.2130556,1492185600,+08:00
510,144,36.54861111,116.7651667,1492185600,+08:00
511,235,36.68538889,117.1247222,1491656400,+08:00
517,99,35.970289,120.155109,1492182000,+08:00
519,97,36.240156,120.660697,1492185600,+08:00
520,109,36.090925,120.48547,1492185600,+08:00
522,93,36.154078,120.427178,1492182000,+08:00
524,82,36.308156,120.460772,1492185600,+08:00
526,139,36.66555556,117.9233333,1492185600,+08:00
527,89,36.80833333,118.0422222,1492185600,+08:00
528,107,36.83805556,118.0447222,1492185600,+08:00
529,139,36.84333333,118.0175,1492182000,+08:00
530,114,36.80305556,118.0244444,1492185600,+08:00
531,114,36.49722222,117.8477778,1492185600,+08:00
532,97,36.45972222,117.8702778,1492185600,+08:00
533,157,36.81972222,118.3091667,1492185600,+08:00
534,129,36.76555556,118.2491667,1492185600,+08:00
