id,aqi,lan,lng,time,tz
446,85,39.929,116.417,1494000000,+08:00
447,60,39.886,116.407,1494000000,+08:00
448,157,39.929,116.339,1494000000,+08:00
449,107,39.878,116.352,1494000000,+08:00
450,151,39.982,116.397,1494000000,+08:00
451,199,39.937,116.461,1493996400,+08:00
452,149,39.987,116.287,1494000000,+08:00
453,117,40.09,116.174,1494000000,+08:00
454,68,40.002,116.207,1494000000,+08:00
455,95,39.863,116.279,1494000000,+08:00
456,53,39.824,116.146,1494000000,+08:00
457,89,39.914,116.184,1494000000,+08:00
458,132,39.742,116.136,1493996400,+08:00
459,61,39.718,116.404,1494000000,+08:00
460,57,39.795,116.506,1494000000,+08:00
461,109,39.886,116.663,1494000000,+08:00
462,119,40.127,116.655,1494000000,+08:00
463,78,40.217,116.23,1494000000,+08:00
464,68,39.937,116.106,1494000000,+08:00
465,128,40.143,117.1,1493996400,+08:00
466,191,40.328,116.628,1493996400,+08:00
467,87,40.37,116.832,1494000000,+08:00
468,161,40.453,115.972,1494000000,+08:00
469,89,40.292,116.22,1494000000,+08:00
470,59,40.365,115.988,1494000000,+08:00
472,72,40.1,117.12,1494000000,+08:00
473,68,39.712,116.783,1494000000,+08:00
474,93,39.52,116.3,1494000000,+08:00
475,72,39.58,116.0,1494000000,+08:00
476,153,39.899,116.395,1493996400,+08:00
477,70,39.876,116.394,1494000000,+08:00
478,85,39.954,116.349,1493996400,+08:00
479,65,39.856,116.368,1494000000,+08:00
480,122,39.939,116.483,1494000000,+08:00
481,99,31.234814,121.410728,1493996400,+08:00
482,149,31.2659,121.536,1493996400,+08:00
483,122,31.201014,121.483231,1493996400,+08:00
484,76,31.0935,120.978,1493996400,+08:00
485,124,31.3008,121.467,1493996400,+08:00
486,104,31.2261,121.425,1493996400,+08:00
487,89,31.1654,121.412,1493996400,+08:00
488,117,31.1907,121.703,1493996400,+08:00
489,129,31.2071,121.577,1493996400,+08:00
490,127,31.2284,121.533,1493996400,+08:00
491,100,31.230393,121.473704,1493992800,+08:00
496,85,41.7832349,123.4267266,1494000000,+08:00
497,565,36.66222222,117.0486111,1494000000,+08:00
498,107,36.63777778,117.0688889,1493294400,+08:00
499,752,36.66138889,117.0211111,1494000000,+08:00
500,562,36.61138889,116.9880556,1494000000,+08:00
501,697,36.59277778,117.0241667,1494000000,+08:00
502,873,36.663,116.945,1494000000,+08:00
504,764,36.70027778,116.9477778,1493996400,+08:00
505,280,36.68722222,116.9886111,1494000000,+08:00
506,598,36.68527778,117.0602778,1494000000,+08:00
507,782,36.68138889,117.1858333,1493996400,+08:00
508,843,36.72256667,117.1247222,1494000000,+08:00
509,266,36.4785,117.2130556,1494000000,+08:00
510,869,36.54861111,116.7651667,1494000000,+08:00
511,413,36.68538889,117.1247222,1494000000,+08:00
517,97,35.970289,120.155109,1494000000,+08:00
519,65,36.240156,120.660697,1493996400,+08:00
520,49,36.090925,120.48547,1494000000,+08:00
522,80,36.154078,120.427178,1494000000,+08:00
524,107,36.308156,120.460772,1494000000,+08:00
526,654,36.66555556,117.9233333,1494000000,+08:00
527,854,36.80833333,118.0422222,1494000000,+08:00
528,927,36.83805556,118.0447222,1494000000,+08:00
529,515,36.84333333,118.0175,1493992800,+08:00
530,230,36.80305556,118.0244444,1494000000,+08:00
531,880,36.49722222,117.8477778,1494000000,+08:00
532,177,36.45972222,117.8702778,1493996400,+08:00
533,880,36.81972222,118.3091667,1494000000,+08:00
534,310,36.76555556,118.2491667,1494000000,+08:00
535,851,36.80416667,117.8511111,1494000000,+08:00
536,864,36.825,117.9205556,1493996400,+08:00
537,603,36.90472222,118.0158333,1493992800,+08:00
538,286,34.85138889,117.5638889,1494000000,+08:00
539,307,34.82,117.5897222,1494000000,+08:00
540,253,34.79111111,117.2666667,1494000000,+08:00
541,286,34.77388889,117.5708333,1494000000,+08:00
542,280,34.58055556,117.7352778,1494000000,+08:00
543,407,35.07083333,117.4516667,1494000000,+08:00
544,289,34.81027778,117.3147222,1494000000,+08:00
545,310,34.8225,117.3575,1494000000,+08:00
546,890,37.43138889,118.6672222,1494000000,+08:00
548,890,37.43805556,118.625,1494000000,+08:00
549,890,37.44166667,118.5044444,1494000000,+08:00
550,890,37.44444444,118.5527778,1493996400,+08:00
551,257,37.46583333,118.5022222,1494000000,+08:00
552,880,37.47222222,118.6408333,1493996400,+08:00
553,723,37.88305556,118.5163889,1494000000,+08:00
554,890,37.43444444,118.6961111,1494000000,+08:00
555,774,37.54311096,121.371706,1493996400,+08:00
557,278,37.52368316,121.3553673,1494000000,+08:00
558,783,37.47141415,121.2550926,1494000000,+08:00
559,171,37.37605485,121.5817255,1494000000,+08:00
560,662,37.47743887,121.4430704,1494000000,+08:00
561,182,37.42609554,121.4031242,1494000000,+08:00
562,174,37.42276743,121.5068398,1493996400,+08:00
563,512,37.5599778,121.2529217,1494000000,+08:00
564,544,37.60240665,121.1421659,1494000000,+08:00
565,668,37.67283315,121.0662505,1494000000,+08:00
566,890,36.73055556,119.0919444,1494000000,+08:00
567,379,36.71955556,119.0481667,1493996400,+08:00
568,362,36.68194444,119.0999444,1493996400,+08:00
569,890,36.77305556,119.1938889,1494000000,+08:00
570,153,36.65722222,119.1613889,1493982000,+08:00
571,895,36.70083333,119.1625,1494000000,+08:00
572,895,36.70194444,119.14,1494000000,+08:00
573,850,36.64111111,119.1108333,1494000000,+08:00
574,310,36.77305556,119.1095667,1493996400,+08:00
575,548,35.40888889,116.6186111,1494000000,+08:00
576,530,35.42505556,116.6936111,1493996400,+08:00
577,102,35.36477778,116.6038889,1490698800,+08:00
578,999,35.39088889,116.5476111,1494000000,+08:00
